number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta_ratio,params_epsilon_decay_steps,params_epsilon_end,params_epsilon_start,params_gamma,params_lambda,params_mu,params_trace_length,state
23,926.7788889066672,2026-05-24 16:11:20.499498,2026-05-24 16:11:34.609518,0 days 00:00:14.110020,0.022405479821760606,13.11397261787341,16208,0.04091539985782571,0.8344710784082848,0.8979447313782244,0.8497096137564357,1.530403870145018,585,COMPLETE
24,1090.7880028786183,2026-05-24 16:11:23.938943,2026-05-24 16:11:35.652652,0 days 00:00:11.713709,0.0821325795092524,12.995729022407682,16532,0.0266497365714468,0.9743375256015289,0.9033554214254268,0.8452909693824227,1.5963140441231958,584,COMPLETE
25,1091.5051025721682,2026-05-24 16:11:29.770291,2026-05-24 16:11:38.117606,0 days 00:00:08.347315,0.054116307116238806,14.541454461599436,15196,0.026085831251621117,0.9770296328530167,0.9038023724087775,0.8485703663700881,1.6528752592121845,559,COMPLETE
26,1082.652412249046,2026-05-24 16:11:31.488332,2026-05-24 16:11:41.596502,0 days 00:00:10.108170,0.05603567878613846,15.122095479921885,15174,0.02358765798902214,0.9680132684847458,0.9023624389436626,0.8377665864119934,1.6634599927057905,563,COMPLETE
27,1077.1964914980172,2026-05-24 16:11:36.032164,2026-05-24 16:11:46.515329,0 days 00:00:10.483165,0.05404904235630924,18.300726809162242,12863,0.010909623917357576,0.9702736867281202,0.8755071740917729,0.6441762100199503,1.6724487600714895,355,COMPLETE
28,1096.3546919464839,2026-05-24 16:11:36.033236,2026-05-24 16:11:54.479899,0 days 00:00:18.446663,0.05708936805141101,15.021213811423092,18545,0.010976013821628057,0.9746294078635328,0.8785031592598004,0.5433291452665333,0.9816384149865989,340,COMPLETE
29,1027.5232226966757,2026-05-24 16:11:39.152513,2026-05-24 16:11:55.514223,0 days 00:00:16.361710,0.038301807019382905,18.47799054168369,18773,0.010449580656099368,0.9183988334090565,0.876172583189377,0.5568772076636245,1.0151357483737398,367,COMPLETE
30,1005.4984127344043,2026-05-24 16:11:41.603477,2026-05-24 16:11:54.481342,0 days 00:00:12.877865,0.03992284121792223,18.0326601541676,12832,0.011752951990859352,0.9152611910151198,0.872669585550633,0.5480931641884081,1.0239619031440457,352,COMPLETE
31,1039.1960937128617,2026-05-24 16:11:46.853111,2026-05-24 16:12:02.192705,0 days 00:00:15.339594,0.03905471306178224,24.695102318801514,18769,0.017348950324771958,0.9255646916865431,0.8784529456437352,0.5577915646024513,0.997733950186691,468,COMPLETE
32,995.4355864322475,2026-05-24 16:11:55.513167,2026-05-24 16:12:09.524260,0 days 00:00:14.011093,0.035015272492290535,24.80958300709165,18763,0.04562783418332595,0.8921666124350608,0.9425014737556281,0.7297774320981315,1.3897323829040973,460,COMPLETE
33,1097.4048990920248,2026-05-24 16:11:55.515137,2026-05-24 16:12:06.400194,0 days 00:00:10.885057,0.0441895373373828,26.627248042992505,9873,0.018375388172550248,0.9980056508327475,0.9373010281886903,0.5170542395951864,1.7706587808518628,476,COMPLETE
34,1097.3153920436125,2026-05-24 16:11:55.516354,2026-05-24 16:12:05.334828,0 days 00:00:09.818474,0.041709113262563206,25.56648949370737,10071,0.018821023614846596,0.9998585385735711,0.9352169336488071,0.5001044236386317,1.7856725593816942,475,COMPLETE
35,1095.6915494840953,2026-05-24 16:12:03.233003,2026-05-24 16:12:16.555257,0 days 00:00:13.322254,0.04603044942592485,26.10236276701012,10530,0.019979077605232386,0.996342708639677,0.9423086832131127,0.510505646487733,1.7747682688183068,493,COMPLETE
36,1097.208618674983,2026-05-24 16:12:05.681603,2026-05-24 16:12:15.141266,0 days 00:00:09.459663,0.06808423185375369,27.9692964034175,10121,0.01895236712020545,0.9971383867628357,0.9582293543777298,0.7326283148199773,1.7982458637260839,494,COMPLETE
37,976.2128322314234,2026-05-24 16:12:07.794561,2026-05-24 16:12:21.491076,0 days 00:00:13.696515,0.06872347432575882,28.90407513656397,14170,0.04500466613175209,0.8853968405958269,0.9582886859462575,0.7307614629331867,1.4211851128488866,643,COMPLETE
38,1102.6667565140897,2026-05-24 16:12:09.526742,2026-05-24 16:12:23.636649,0 days 00:00:14.109907,0.02718896982491496,22.65280324954982,13991,0.03073314286730204,0.9890744812072109,0.9547629508967291,0.8106495358297456,1.435643140255185,536,COMPLETE
39,1063.1018988102421,2026-05-24 16:12:15.833922,2026-05-24 16:12:32.085264,0 days 00:00:16.251342,0.14391424998192323,22.833355001013757,13738,0.029931808217785894,0.9536906019325938,0.9244415345926218,0.8963035695862981,1.6681902658936991,641,COMPLETE
40,1068.2452838682004,2026-05-24 16:12:16.558327,2026-05-24 16:12:30.680315,0 days 00:00:14.121988,0.14335466169967398,22.7190329665734,13949,0.02971916458058834,0.9552711188559916,0.916397765882798,0.8069812277969406,1.4318307567882131,537,COMPLETE
41,1033.8952994993808,2026-05-24 16:12:23.288361,2026-05-24 16:12:34.165444,0 days 00:00:10.877083,0.18039717797687072,11.79013119195216,8974,0.031147943893074317,0.954973894250538,0.9248219020650976,0.8933361138941336,1.6781703865629982,544,COMPLETE
42,1020.9916317284482,2026-05-24 16:12:23.638851,2026-05-24 16:12:37.619215,0 days 00:00:13.980364,0.025257382643318838,22.70153489863504,7399,0.03148980295428208,0.9576943817454416,0.9252019187195158,0.8996692018341625,1.1764316210607115,540,COMPLETE
43,988.9731575298956,2026-05-24 16:12:32.084147,2026-05-24 16:12:43.518368,0 days 00:00:11.434221,0.02607162992830376,19.850370790362888,7462,0.03108477210801457,0.9337271016910288,0.9234761696910663,0.8964461105453186,1.278432084551802,623,COMPLETE
44,1047.9064571607626,2026-05-24 16:12:32.086634,2026-05-24 16:12:45.607924,0 days 00:00:13.521290,0.026272422091318567,11.62989814682809,7105,0.023879232052342547,0.986015875635704,0.9488840330341946,0.8223667572001172,1.2355955807806047,540,COMPLETE
45,1049.277045818611,2026-05-24 16:12:34.850115,2026-05-24 16:12:50.474487,0 days 00:00:15.624372,0.025670363092879258,19.81762214349141,7326,0.023570874287501074,0.9843767847905645,0.9513212908135288,0.7032780548873367,1.2556761089229733,416,COMPLETE
46,1094.9438131415031,2026-05-24 16:12:37.620000,2026-05-24 16:12:51.539393,0 days 00:00:13.919393,0.02733341869342432,28.38116822998945,12204,0.02499234467515051,0.9835371381511934,0.949541818390151,0.8272659793922025,1.7109032643849211,420,COMPLETE
47,1094.8399211342116,2026-05-24 16:12:44.205461,2026-05-24 16:13:05.511075,0 days 00:00:21.305614,0.02992475072884049,16.40185827618675,11726,0.024475221848277412,0.9880385725852109,0.950823499942819,0.8010502144004987,1.710624979386166,424,COMPLETE
48,1084.0833398488414,2026-05-24 16:12:45.952561,2026-05-24 16:13:03.740000,0 days 00:00:17.787439,0.03204696347784883,16.341968498448495,11835,0.01543191043074734,0.9782710796812831,0.9503242975209057,0.7934895981550898,1.690949486930374,426,COMPLETE
49,1029.5618466899493,2026-05-24 16:12:51.540237,2026-05-24 16:13:05.131541,0 days 00:00:13.591304,0.033458701203020275,16.56277523232815,11845,0.01577270053655707,0.936708916665438,0.8401150076224578,0.796401023319494,0.6875798912551305,387,COMPLETE
50,1031.2173769270164,2026-05-24 16:12:51.541886,2026-05-24 16:13:05.509072,0 days 00:00:13.967186,0.047629841284583314,27.309259234169787,11994,0.014989680771880284,0.9378602143724284,0.8660143285877885,0.8658271214001164,1.600172763380357,728,COMPLETE
51,770.0840114012807,2026-05-24 16:13:05.132160,2026-05-24 16:13:19.353203,0 days 00:00:14.221043,0.06136606477830477,29.564031881347667,10900,0.07724217554212542,0.7064329118100499,0.9088919518535675,0.8665212043994637,1.613172331789658,790,COMPLETE
52,1065.2254112390367,2026-05-24 16:13:05.511868,2026-05-24 16:13:15.993867,0 days 00:00:10.481999,0.04491128020242172,29.74019067859411,10770,0.019829627315002863,0.9647953300538702,0.9365244890878801,0.5298303029676338,1.7434631042766775,514,COMPLETE
